"","Date_reported","Country","New_cases"
"54804","25/04/2020","Netherlands","806"
"54805","26/04/2020","Netherlands","655"
"54806","27/04/2020","Netherlands","655"
"54807","28/04/2020","Netherlands","400"
"54808","29/04/2020","Netherlands","171"
"54809","30/04/2020","Netherlands","386"
"54810","01/05/2020","Netherlands","514"
"54811","02/05/2020","Netherlands","475"
"54812","03/05/2020","Netherlands","445"
"54813","04/05/2020","Netherlands","335"
"54814","05/05/2020","Netherlands","199"
"54815","06/05/2020","Netherlands","317"
"54816","07/05/2020","Netherlands","232"
"54817","08/05/2020","Netherlands","455"
"54818","09/05/2020","Netherlands","319"
"54819","10/05/2020","Netherlands","289"
"54820","11/05/2020","Netherlands","245"
"54821","12/05/2020","Netherlands","161"
"54822","13/05/2020","Netherlands","196"
"54823","14/05/2020","Netherlands","227"
"54824","15/05/2020","Netherlands","270"
"54825","16/05/2020","Netherlands","200"
"54826","17/05/2020","Netherlands","189"
"54827","18/05/2020","Netherlands","125"
"54828","19/05/2020","Netherlands","146"
"54829","20/05/2020","Netherlands","108"
"54830","21/05/2020","Netherlands","198"
"54831","22/05/2020","Netherlands","253"
"54832","23/05/2020","Netherlands","188"
"54833","24/05/2020","Netherlands","176"
"54834","25/05/2020","Netherlands","172"
"54835","26/05/2020","Netherlands","209"
"54836","27/05/2020","Netherlands","133"
"54837","28/05/2020","Netherlands","190"
"54838","29/05/2020","Netherlands","182"
"54839","30/05/2020","Netherlands","176"
"54840","31/05/2020","Netherlands","131"
"54841","01/06/2020","Netherlands","185"
"54842","02/06/2020","Netherlands","103"
"54843","03/06/2020","Netherlands","102"
"54844","04/06/2020","Netherlands","86"
"54845","05/06/2020","Netherlands","209"
"54846","06/06/2020","Netherlands","210"
"54847","07/06/2020","Netherlands","183"
"54848","08/06/2020","Netherlands","239"
"54849","09/06/2020","Netherlands","165"
"54850","10/06/2020","Netherlands","164"
"54851","11/06/2020","Netherlands","184"
"54852","12/06/2020","Netherlands","164"
"54853","13/06/2020","Netherlands","210"
"54854","14/06/2020","Netherlands","179"
"54855","15/06/2020","Netherlands","143"
"54856","16/06/2020","Netherlands","165"
"54857","17/06/2020","Netherlands","139"
"54858","18/06/2020","Netherlands","117"
"54859","19/06/2020","Netherlands","115"
"54860","20/06/2020","Netherlands","107"
"54861","21/06/2020","Netherlands","76"
"54862","22/06/2020","Netherlands","91"
"54863","23/06/2020","Netherlands","65"
"54864","24/06/2020","Netherlands","64"
"54865","25/06/2020","Netherlands","82"
"54866","26/06/2020","Netherlands","110"
"54867","27/06/2020","Netherlands","91"
